ID,keyid,vars,constl,opaspr,dtype,ampas,assgn,arith,logrel,block,decl,exprn,lrvalue,incdcr,varscop,fncpro,init,itcpt,selcpt,fncpar,countit,eventit,multi,nestit,fncdef,callfnc,pasaddr,stdio,conti,exitlp,endlp,beflp,ifelse,ifseri,switch,scanf,printf,break,prepost,elseif,return,default,constr,fncs,sequen
1CM-F,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
2CM-F,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
3CM-F,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known
4CM-F,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known
5CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
6CM-M,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
7CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known
8CM-F,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown
9CM-M,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
10CM-F,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known
11CM-M,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known
12CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
13CM-F,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known
14CM-F,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known
15CM-M,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
16CM-M,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown
