ID,keyid,dtype,vars,block,decl,varscop,constr,opaspr,arith,assgn,constl,logrel,exprn,ampas,sequen,itcpt,selcpt,fncs,pasaddr,fncpar,fncpro,nestit,multi,init,incdcr,countit,eventit,switch,fncdef,exitlp,return,break,conti,ifelse,callfnc,stdio,lrvalue,scanf,printf,ifseri,elseif,beflp,endlp,default,prepost
P1,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known
P2,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown
P3,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known
P4,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown
P5,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown
P6,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown
P7,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown
P8,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown
P9,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known
P10,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known
P11,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown
P12,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown
P13,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known
P14,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known
P15,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown
P16,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known
P17,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known
P18,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known
P19,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown
P20,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown
P21,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown
P22,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known
P23,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown
P24,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown
P25,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown
P26,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known
P27,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known
P28,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown
