[1] ">>> Arcs of pc.stable_mi above the threshold 0.1 <<<"
        from      to strength direction
10     keyid    decl    0.210 0.5119048
18     keyid  selcpt    0.105 0.6666667
54      vars    decl    0.785 0.5541401
140   opaspr  logrel    0.745 0.5201342
211    dtype   scanf    0.305 0.6065574
247    ampas   stdio    0.275 0.5909091
248    ampas   conti    0.110 0.2500000
255    ampas   scanf    0.270 0.5648148
276    assgn lrvalue    0.590 0.5000000
316    arith  logrel    0.190 0.5000000
332    arith  fncdef    0.125 0.6600000
338    arith   endlp    0.250 0.6300000
341    arith  ifseri    0.195 0.4487179
356   logrel  opaspr    0.745 0.4798658
360   logrel   arith    0.190 0.5000000
433    block   break    0.120 0.7083333
436    block  return    0.255 0.5980392
441     decl   keyid    0.210 0.4880952
442     decl    vars    0.785 0.4458599
497    exprn  incdcr    0.385 0.5129870
517    exprn  ifseri    0.135 0.5740741
535  lrvalue   assgn    0.590 0.5000000
584   incdcr   exprn    0.385 0.4870130
589   incdcr   itcpt    0.145 0.3448276
590   incdcr  selcpt    0.150 0.4833333
594   incdcr   multi    0.175 0.3857143
643  varscop   stdio    0.270 0.5277778
645  varscop  exitlp    0.150 0.4833333
684   fncpro  fncdef    0.585 0.5769231
690   fncpro   endlp    0.190 0.5263158
724     init countit    0.115 0.4130435
727     init  nestit    0.200 0.4250000
762    itcpt  incdcr    0.145 0.6551724
770    itcpt   multi    0.250 0.4700000
780    itcpt  ifelse    0.120 0.4375000
793   selcpt   keyid    0.105 0.3333333
806   selcpt  incdcr    0.150 0.5166667
828   selcpt  printf    0.140 0.5357143
880   fncpar  sequen    0.580 0.5172414
897  countit    init    0.115 0.5869565
911  countit   beflp    0.160 0.5312500
954  eventit   endlp    0.185 0.5810811
955  eventit   beflp    0.560 0.5133929
982    multi  incdcr    0.175 0.6142857
986    multi   itcpt    0.250 0.5300000
1029  nestit    init    0.200 0.5750000
1038  nestit pasaddr    0.130 0.6538462
1050  nestit prepost    0.160 0.5625000
1064  fncdef   arith    0.125 0.3400000
1072  fncdef  fncpro    0.585 0.4230769
1096  fncdef  return    0.165 0.4848485
1126 callfnc pasaddr    0.135 0.5740741
1139 callfnc  elseif    0.155 0.4354839
1168 pasaddr  nestit    0.130 0.3461538
1170 pasaddr callfnc    0.135 0.4259259
1180 pasaddr  printf    0.330 0.5909091
1184 pasaddr  return    0.115 0.4347826
1194   stdio   ampas    0.275 0.4090909
1203   stdio varscop    0.270 0.4722222
1216   stdio   conti    0.190 0.1973684
1224   stdio  printf    0.300 0.5583333
1238   conti   ampas    0.110 0.7500000
1260   conti   stdio    0.190 0.8026316
1275   conti    fncs    0.115 0.6086957
1291  exitlp varscop    0.150 0.5166667
1319  exitlp    fncs    0.305 0.4836066
1328   endlp   arith    0.250 0.3700000
1336   endlp  fncpro    0.190 0.4736842
1342   endlp eventit    0.185 0.4189189
1385   beflp countit    0.160 0.4687500
1386   beflp eventit    0.560 0.4866071
1426  ifelse   itcpt    0.120 0.5625000
1447  ifelse  elseif    0.105 0.4523810
1460  ifseri   arith    0.195 0.5512821
1464  ifseri   exprn    0.135 0.4259259
1533  switch   break    0.380 0.5197368
1545   scanf   dtype    0.305 0.3934426
1546   scanf   ampas    0.270 0.4351852
1603  printf  selcpt    0.140 0.4642857
1611  printf pasaddr    0.330 0.4090909
1612  printf   stdio    0.300 0.4416667
1638   break   block    0.120 0.2916667
1663   break  switch    0.380 0.4802632
1669   break default    0.410 0.4268293
1696 prepost  nestit    0.160 0.4375000
1713 prepost default    0.100 0.3000000
1742  elseif callfnc    0.155 0.5645161
1749  elseif  ifelse    0.105 0.5476190
1770  return   block    0.255 0.4019608
1785  return  fncdef    0.165 0.5151515
1787  return pasaddr    0.115 0.5652174
1842 default   break    0.410 0.5731707
1843 default prepost    0.100 0.7000000
1921    fncs   conti    0.115 0.3913043
1922    fncs  exitlp    0.305 0.5163934
1956  sequen  fncpar    0.580 0.4827586
