[1] ">>> Arcs of hc_loglik_network <<<"
      from      to     strength
26  incdcr  return 4.418842e-03
42   multi   stdio 2.326161e-03
25  incdcr  printf 1.547865e-03
14  logrel countit 7.471117e-04
41   multi lrvalue 3.425467e-04
16    decl   dtype 2.350327e-04
45 callfnc  constl 2.157777e-04
40   multi  opaspr 2.023345e-04
33  selcpt   ampas 1.410538e-04
52   beflp   itcpt 1.297061e-04
11  logrel   exprn 1.020438e-04
2     vars pasaddr 8.402998e-05
44 callfnc    vars 8.375318e-05
34  selcpt callfnc 3.860250e-05
10   arith  sequen 2.129782e-05
15  logrel   beflp 1.957660e-05
61  sequen  printf 1.725649e-05
56  printf  ifelse 1.333772e-05
13  logrel  selcpt 1.049319e-05
18   exprn  incdcr 7.657300e-06
39 eventit   multi 3.157214e-06
47 callfnc  ifseri 2.251800e-06
35  fncpar  constl 2.132118e-06
46 callfnc   assgn 4.748035e-07
50   endlp  ifelse 4.049075e-07
3     vars   stdio 2.414421e-07
28    init   block 2.224513e-07
1     vars   ampas 1.287933e-07
30    init   beflp 7.121624e-08
58  return   multi 5.460889e-08
60  constr  fncdef 4.729808e-08
49   endlp eventit 7.887836e-09
21   exprn  return 6.714631e-09
23  incdcr   itcpt 6.232827e-09
4    dtype  fncpar 5.893972e-09
59  constr    vars 3.051707e-09
29    init   exprn 2.418552e-09
19   exprn  selcpt 2.358849e-09
7    assgn lrvalue 9.872806e-10
43  fncdef   assgn 9.429682e-10
36  fncpar callfnc 6.482090e-10
38 countit   block 1.077818e-10
51   beflp  incdcr 2.492201e-11
20   exprn  fncdef 6.962201e-12
17    decl  logrel 1.785025e-12
22 lrvalue  opaspr 6.418394e-13
53   beflp  nestit 4.910888e-14
57  return   dtype 3.880551e-16
31   itcpt  fncpar 1.084918e-16
54  ifelse  ifseri 3.529220e-17
32   itcpt countit 3.461431e-19
24  incdcr eventit 4.561799e-20
55  printf   endlp 1.899904e-21
6    ampas pasaddr 4.746811e-24
5    dtype    fncs 1.824127e-25
27  incdcr  sequen 8.713713e-26
9    arith   endlp 5.310731e-26
8    arith    decl 1.735219e-27
48   stdio   scanf 1.327290e-30
37  fncpar  constr 3.620822e-35
12  logrel    init 1.103663e-36
